5701,普通,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,・・,05:20,05:25,05:28,05:31,05:34,05:37
5265,普通,10:02,10:05,10:07,10:10,10:13,10:16,10:18,10:22,10:25,10:28,10:31,10:34,10:37,10:39,・・,・・,・・,・・,・・,・・
5267,普通,10:09,10:12,10:14,10:17,10:20,10:23,10:25,10:33,10:36,10:39,10:42,10:44,10:47,10:50,・・,・・,・・,・・,・・,・・
4023,区快,10:13,10:16,10:18,10:21,10:24,↓,↓,10:31,10:34,10:37,↓,10:41,10:44,↓,10:50,10:54,10:58,11:01,11:04,11:06
5023,普通,10:18,10:21,10:23,10:26,10:29,10:32,10:34,10:38,10:41,10:44,10:47,10:49,10:52,10:55,11:05,11:11,11:14,11:17,11:20,11:23
5269,普通,10:25,10:28,10:31,10:34,10:36,10:39,10:41,10:48,10:52,10:55,10:57,11:00,11:03,11:05,・・,・・,・・,・・,・・,・・
3017,快速,10:30,10:32,10:35,10:38,10:41,↓,↓,↓,↓,10:51,↓,10:55,↓,↓,11:03,↓,↓,↓,↓,11:15
5271,普通,10:36,10:39,10:42,10:45,10:47,10:50,10:52,10:56,10:59,11:02,11:05,11:07,11:10,11:13,・・,・・,・・,・・,・・,・・
4025,区快,10:43,10:46,10:49,10:52,10:54,↓,↓,11:01,11:04,11:07,↓,11:11,11:14,↓,11:20,11:24,11:28,11:31,11:34,11:36
5271,普通,10:36,10:39,10:42,10:45,10:47,10:50,10:52,10:56,10:59,11:02,11:05,11:07,11:10,11:13,・・,・・,・・,・・,・・,・・
4025,区快,10:43,10:46,10:49,10:52,10:54,↓,↓,11:01,11:04,11:07,↓,11:11,11:14,↓,11:20,11:24,11:28,11:31,11:34,11:36
5025,普通,10:48,10:51,10:53,10:56,10:59,11:02,11:04,11:08,11:11,11:14,11:17,11:19,11:22,11:25,11:35,11:41,11:44,11:47,11:50,11:53
5273,普通,10:55,10:58,11:00,11:03,11:06,11:09,11:11,11:18,11:21,11:24,11:27,11:29,11:32,11:35,・・,・・,・・,・・,・・,・・
3019,快速,11:00,11:02,11:05,11:08,11:11,↓,↓,↓,↓,11:21,↓,11:25,↓,↓,11:33,↓,↓,↓,↓,11:45
5275,普通,11:06,11:09,11:12,11:15,11:17,11:20,11:22,11:26,11:29,11:32,11:35,11:37,11:40,11:43,・・,・・,・・,・・,・・,・・
4027,区快,11:13,11:16,11:19,11:22,11:24,↓,↓,11:31,11:34,11:37,↓,11:41,11:44,↓,11:50,11:54,11:58,12:01,12:04,12:06
